Date,Open,High,Low,Close,Volume,Adjustment Factor,Adjustment Type
2018-12-31,2477.286629,2499.906119,2451.952799,2461.136312,406069.0,,
2018-12-28,2491.672625,2497.146541,2453.536163,2458.738646,358369.0,,
2018-12-27,2500.720421,2500.810899,2439.828752,2476.381849,558049.0,,
2018-12-26,2455.300484,2487.963028,2415.761614,2474.210378,410582.0,,
2018-12-25,2465.20782,2465.20782,2465.20782,2465.20782,0.0,,
2018-12-24,2556.454846,2562.96926,2457.24576,2465.20782,348337.0,,
2018-12-21,2621.14659,2628.384827,2534.287745,2541.028354,386367.0,,
2018-12-20,2583.145845,2623.860929,2562.335914,2612.279749,288162.0,,
2018-12-19,2582.150588,2607.574895,2574.143288,2590.384082,393269.0,,
2018-12-18,2569.574151,2600.155702,2553.333356,2570.388453,443162.0,,
2018-12-17,2563.240693,2581.336286,2556.997714,2570.433692,225455.0,,
2018-12-14,2565.955032,2567.176485,2519.992227,2554.328614,465457.0,,
2018-12-13,2587.669743,2610.877341,2553.016684,2566.04551,466453.0,,
2018-12-12,2480.905747,2585.860184,2477.874735,2577.1743,552031.0,,
2018-12-11,2451.952799,2497.19178,2429.333308,2478.734276,370479.0,,
2018-12-10,2454.667138,2506.194338,2445.438386,2465.614971,274974.0,,
2018-12-07,2462.810154,2527.049508,2457.652911,2520.897007,417465.0,,
2018-12-06,2479.096188,2532.840098,2448.197963,2459.281514,468440.0,,
2018-12-05,2496.287001,2510.311085,2471.043649,2500.901377,178352.0,,
2018-12-04,2479.186666,2524.335169,2466.655468,2500.675182,395469.0,,
2018-12-03,2497.19178,2501.67044,2455.571917,2475.477069,386060.0,,
2018-11-30,2461.905375,2505.968143,2444.714562,2484.253432,690175.0,,
2018-11-29,2382.284767,2476.381849,2354.281838,2464.619714,763933.0,,
2018-11-28,2363.284395,2375.04653,2337.950565,2355.95568,285713.0,,
2018-11-27,2390.427784,2392.192104,2326.097952,2352.110367,437591.0,,
2018-11-26,2357.855717,2409.337678,2330.712328,2397.213631,376778.0,,
2018-11-23,2343.695916,2343.695916,2343.695916,2343.695916,0.0,,
2018-11-22,2352.42704,2374.141751,2335.055271,2343.695916,373650.0,,
2018-11-21,2418.475953,2418.475953,2344.374501,2356.634265,381149.0,,
2018-11-20,2424.492737,2424.492737,2402.189919,2412.594885,146989.0,,
2018-11-19,2446.524121,2450.14324,2415.761614,2424.492737,209883.0,,
2018-11-16,2424.80941,2448.243202,2420.421229,2438.697777,317881.0,,
2018-11-15,2425.71419,2442.000223,2407.709075,2414.721117,240745.0,,
2018-11-14,2420.285512,2456.386219,2399.47558,2421.642681,302299.0,,
2018-11-13,2396.761241,2418.837864,2364.189175,2411.690105,305897.0,,
2018-11-12,2442.905003,2466.429273,2389.477765,2399.747014,272808.0,,
2018-11-09,2424.80941,2483.620086,2418.928342,2436.616784,344335.0,,
2018-11-08,2436.164394,2436.164394,2436.164394,2436.164394,0.0,,
2018-11-07,2437.476325,2438.381104,2425.849907,2436.164394,38824.0,,
2018-11-06,2418.656908,2441.095443,2405.763799,2419.9236,278587.0,,
2018-11-05,2415.761614,2431.550018,2372.82982,2418.068802,222067.0,,
2018-11-02,2370.522632,2442.905003,2370.522632,2404.678063,769311.0,,
2018-11-01,2364.279653,2369.617853,2323.51933,2351.386543,356883.0,,
2018-10-31,2307.188058,2365.093954,2249.417879,2346.726928,552796.0,,
2018-10-30,2310.807177,2337.045786,2291.716326,2312.842931,270336.0,,
2018-10-29,2291.806804,2314.742968,2238.651001,2306.373756,388894.0,,
2018-10-26,2246.567823,2292.349672,2213.724322,2274.389796,498124.0,,
2018-10-25,2221.233993,2260.772863,2189.566706,2241.636774,913688.0,,
2018-10-24,2365.998734,2370.432154,2222.68164,2239.465303,1669762.0,,
2018-10-23,2298.140262,2351.250826,2285.473347,2340.212515,342563.0,,
2018-10-22,2289.182943,2329.536115,2258.963304,2313.431037,321452.0,,
2018-10-19,2293.842558,2300.718884,2243.853484,2271.223068,470172.0,,
2018-10-18,2305.197543,2305.197543,2305.197543,2305.197543,0.0,,
2018-10-17,2386.808665,2397.349348,2296.330702,2305.197543,285116.0,,
2018-10-16,2386.808665,2395.856462,2356.950938,2361.927226,257469.0,,
2018-10-15,2392.237343,2395.313594,2330.802806,2370.929783,176677.0,,
2018-10-12,2306.735668,2396.716002,2289.182943,2373.28221,510424.0,,
2018-10-11,2298.140262,2312.526258,2266.880125,2285.292391,386992.0,,
2018-10-10,2316.235854,2378.575171,2312.616736,2335.96005,699121.0,,
2018-10-09,2343.379243,2343.424482,2289.363899,2306.147561,309578.0,,
2018-10-08,2285.518586,2356.136636,2263.080051,2338.041043,667297.0,,
2018-10-05,2384.094327,2384.094327,2280.044669,2300.89984,947343.0,,
2018-10-04,2431.142867,2460.548205,2376.177505,2403.999478,638156.0,,
2018-10-03,2474.57229,2506.149099,2444.714562,2471.315083,504580.0,,
2018-10-02,2470.138869,2470.138869,2470.138869,2470.138869,0.0,,
2018-10-01,2431.142867,2483.620086,2370.16072,2470.138869,610220.0,,
2018-09-28,2531.573406,2540.575964,2384.999106,2431.550018,892679.0,,
2018-09-27,2509.315827,2556.907236,2495.744133,2518.499341,565518.0,,
2018-09-26,2530.216237,2541.299787,2482.353394,2509.22535,494874.0,,
2018-09-25,2467.424531,2535.056808,2467.424531,2523.158956,348703.0,,
2018-09-24,2533.382966,2545.778447,2488.143984,2496.558435,485510.0,,
